x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,target
54.52,2.22,10.386904341669402,0,6,,34.54,20.91,,61.7,8.73,0
45.06,8.71,16.76984228981247,0,3,74.88,46.53,,,64.0,10.08,1
42.68,2.07,7.502324202076094,1,6,67.82,26.48,25.08,21.74,62.3,11.4,0
28.96,9.19,,1,8,54.74,,22.36,18.75,57.3,16.85,1
40.06,4.88,22.511602724664385,1,7,61.57,28.38,,17.62,,12.74,0
39.52,,10.37345850570505,1,6,70.47,,26.9,19.9,,7.73,0
41.42,7.66,16.820178344399935,1,2,72.48,30.74,21.4,16.41,66.1,10.22,0
37.61,5.18,29.307099592463867,0,3,63.71,22.83,,21.17,61.7,9.61,0
41.69,2.97,33.97755463163845,0,6,68.95,27.54,27.43,23.7,61.7,11.61,0
38.66,1.88,16.620460146695045,2,5,59.7,25.58,19.7,17.28,61.3,21.1,0
32.8,0.81,10.193231303746767,1,7,67.44,29.51,25.01,19.56,,10.02,1
48.19,7.38,16.96880425157611,1,6,,21.26,20.51,21.57,65.4,17.77,0
48.17,4.41,15.529814503123525,2,3,,36.66,26.95,16.83,52.1,8.29,0
53.97,1.58,12.36900154907283,0,6,,32.6,26.09,18.9,55.2,9.74,1
42.35,8.8,22.319527084437027,1,7,67.06,39.9,23.85,19.51,59.3,5.38,0
39.17,2.74,15.677304045626713,1,6,70.38,21.34,,14.23,65.3,7.04,0
38.18,,,0,6,55.63,41.39,26.82,14.69,51.0,10.67,0
31.17,2.96,11.256807941068498,1,5,63.23,25.89,24.05,16.29,63.0,8.01,1
48.88,6.29,23.0741774119802,1,10,,35.72,22.41,16.31,,5.64,0
34.29,5.8,8.123617523171536,0,4,54.87,,26.52,18.78,66.6,11.02,0
33.7,6.0,12.984240944401636,1,5,65.03,25.91,24.18,22.44,57.3,10.51,0
40.56,2.66,13.821695797284388,2,8,73.11,30.87,17.66,17.82,53.6,8.51,0
52.4,2.85,16.729995323428266,0,3,,23.8,29.94,,56.3,16.54,0
43.66,2.54,14.342982410724595,1,8,71.37,,,18.94,57.4,7.61,0
34.83,3.28,34.54957634378258,2,4,68.82,28.41,28.97,15.39,60.2,11.28,1
37.01,1.44,17.272777610277952,2,8,63.76,26.08,28.22,17.7,58.0,13.23,0
46.38,1.66,9.499478442461172,1,4,,28.2,30.15,17.17,61.2,11.77,0
40.88,9.64,23.085020753893016,1,4,67.89,35.95,23.43,16.45,61.7,9.41,0
36.62,9.6,20.527085406009427,1,7,72.15,38.11,27.83,23.12,51.1,13.17,1
40.39,1.88,16.752972412177726,1,4,73.04,31.4,10.28,16.24,60.1,14.78,0
47.22,0.24,18.314145430695014,1,7,,32.28,14.94,20.14,57.8,7.63,0
55.83,2.05,12.448261495617691,1,4,,14.23,23.55,13.77,66.6,13.26,0
33.29,,,1,2,70.37,33.63,37.17,21.49,64.9,16.97,1
37.62,7.8,16.01469938309956,0,5,51.83,43.14,15.82,,60.8,11.57,1
36.37,0.23,11.955955283581147,1,5,69.09,36.89,26.48,18.99,61.7,9.01,1
25.07,5.78,21.921345175357366,0,4,51.38,29.1,19.28,17.41,64.0,8.27,1
35.53,0.02,11.695637497893195,1,7,70.22,,22.21,22.43,63.3,9.43,1
34.83,5.15,15.691595167512457,0,6,71.8,,26.53,20.0,55.5,11.94,0
49.87,6.4,17.628182287226714,2,9,,29.33,28.03,13.83,61.5,9.17,0
41.08,9.86,7.958472308374761,2,3,81.24,32.04,,19.19,55.8,11.53,0
30.64,2.59,31.542367060895543,1,6,67.5,16.44,25.08,16.89,50.2,16.7,1
46.53,8.02,21.081364239712514,0,4,,24.27,17.99,23.98,56.3,11.37,0
39.51,8.7,38.122106576388006,1,5,70.12,35.22,,22.1,58.4,7.59,1
29.8,9.23,17.22933329749864,1,4,67.24,30.67,23.67,,66.3,8.65,1
37.82,,,0,5,66.32,28.8,19.17,17.98,65.6,7.2,1
37.88,4.69,11.829744748318623,2,7,66.16,28.93,25.57,17.15,61.9,10.77,0
35.88,9.81,9.277954636833398,1,7,75.0,37.35,26.34,20.41,54.4,17.95,1
42.21,3.99,13.984030462288946,0,5,61.67,,23.12,14.62,50.6,9.62,0
26.26,,,1,7,67.24,21.5,24.43,19.69,62.3,8.83,1
40.13,5.46,18.713938896142164,2,4,63.43,,,14.94,54.1,13.89,0
49.09,7.71,9.085978054810981,2,7,,28.99,21.15,13.65,62.3,6.74,0
47.97,4.85,17.095255159536336,0,6,,37.03,19.93,20.59,59.6,9.9,0
49.76,0.29,12.041496304776052,2,4,,,16.73,24.42,56.7,8.78,0
49.84,0.87,11.742041547701689,0,5,,21.04,21.08,18.69,63.6,7.99,0
52.41,1.11,11.560476340964783,0,2,,23.4,23.78,17.86,53.9,13.54,0
34.17,2.51,11.927567880484471,2,2,78.53,40.39,27.31,18.62,58.6,12.07,1
47.92,9.65,19.265378323152596,2,7,,30.93,,17.91,62.9,11.98,0
28.97,6.32,,0,3,70.77,33.85,21.57,14.72,63.0,10.37,1
37.78,8.17,40.71276896470817,2,4,57.28,34.3,28.55,22.49,64.5,11.2,1
28.6,5.66,20.122503987741858,0,7,75.07,23.34,21.91,19.02,62.5,5.69,1
49.34,6.35,9.155400013984723,1,4,,28.78,30.03,22.9,53.7,20.81,0
51.34,8.12,23.90649282686436,1,5,,42.13,17.58,18.08,63.7,9.72,0
40.62,9.27,18.412278396339303,1,7,75.37,37.15,17.91,19.71,58.7,6.92,1
54.42,9.13,16.873821802541258,0,4,,22.77,30.91,18.07,64.9,5.92,0
37.28,8.25,38.21802675252412,0,4,55.65,35.17,22.47,19.33,55.9,10.11,1
43.05,0.94,27.961573749887712,0,4,51.95,31.6,26.99,21.18,63.3,12.98,0
43.07,3.61,9.583001481873051,1,8,54.39,24.24,24.77,19.51,63.6,10.35,0
34.55,0.36,16.0315487090067,2,4,62.47,26.67,17.59,25.86,,13.98,1
45.07,5.46,22.866548738448678,1,5,71.4,27.01,,17.0,57.2,13.83,0
55.57,7.96,7.697283563607948,1,2,,32.55,20.28,16.78,57.0,12.28,0
34.83,0.51,20.978839897858933,2,4,73.58,20.84,21.57,16.59,66.4,19.3,1
48.3,1.89,11.525806618906463,1,5,,26.53,29.21,18.62,54.7,8.92,0
40.92,3.65,11.960734465366425,1,6,62.46,20.85,27.18,17.69,56.9,12.34,0
54.39,2.44,9.977777727272755,1,7,,31.44,20.99,20.09,,18.48,0
45.39,7.95,11.515798723896738,2,7,42.01,20.55,10.43,21.25,62.3,15.13,0
46.73,3.52,12.391087174607941,2,5,,23.97,21.33,16.53,50.5,6.98,0
46.5,6.39,12.855692783433113,1,3,,28.36,21.98,22.28,52.8,7.18,0
43.74,4.93,10.779812229533427,1,5,72.48,33.81,18.46,18.55,58.4,15.06,1
32.23,5.83,7.501753472126621,0,5,61.23,36.57,25.62,17.18,56.6,6.55,1
51.74,9.39,,2,4,,34.78,16.38,24.46,51.2,7.04,0
32.41,9.44,9.132406368866281,0,6,70.16,20.81,,20.27,62.2,9.55,0
43.67,1.12,14.719948510792314,1,4,68.23,22.55,27.74,23.4,53.7,11.87,0
46.3,8.44,13.997094803890121,0,5,,37.02,29.93,22.27,66.9,9.05,0
36.13,3.46,,1,3,68.65,28.12,22.18,18.93,56.0,9.38,0
43.02,1.01,23.722890051994042,2,6,46.04,34.38,16.87,17.38,57.8,12.16,0
50.18,3.83,11.488066430745322,1,5,,30.91,32.5,16.73,61.8,10.2,0
41.83,5.1,19.384777838190757,2,6,69.25,28.58,26.08,14.72,65.1,25.09,0
35.78,9.61,27.734968339862252,0,2,56.23,32.8,22.42,15.96,58.5,8.86,1
21.59,3.72,13.60532604145371,0,4,63.64,21.11,17.95,19.44,62.3,15.46,1
35.2,,,2,6,68.86,,22.84,15.42,,15.59,1
37.86,8.6,10.98175613956089,0,6,60.46,,15.74,20.63,54.0,10.23,0
38.39,,,1,4,61.74,30.84,24.09,20.16,59.1,12.15,0
35.28,4.78,17.240708560259822,2,6,70.36,34.81,24.45,21.14,,7.08,1
44.64,8.5,32.29333091443355,1,5,72.3,21.95,17.66,17.65,,10.03,1
37.98,5.15,15.47436772725909,0,4,64.33,24.27,14.77,17.13,50.2,15.37,0
41.23,4.47,,1,1,71.91,18.9,15.38,16.54,,13.87,0
46.75,8.0,10.314532761780882,2,5,,30.63,11.29,15.57,58.1,14.29,0
36.01,0.2,7.920878217005337,1,4,69.64,41.48,30.45,24.26,51.2,12.83,1
39.9,5.73,21.452570530328757,0,8,68.37,,29.52,16.9,54.6,7.92,0
57.11,4.11,21.09459126270678,1,5,,31.0,11.57,17.32,61.4,7.0,0
48.12,,8.011874114803211,0,4,,38.02,27.87,18.65,53.3,8.44,0
32.95,8.01,11.822906880933651,2,5,67.76,33.01,24.45,15.48,54.9,6.81,1
41.44,0.54,18.846264211341627,1,8,58.49,25.6,,20.08,62.9,9.4,0
45.95,1.9,36.83685638262509,1,3,66.46,37.45,18.17,15.32,60.3,13.72,0
50.63,,12.689794132226965,0,5,,37.15,15.16,14.21,,11.32,0
43.04,7.03,23.352087893572477,2,4,60.06,29.04,18.46,18.07,54.2,8.62,0
38.29,3.32,10.827157452812482,1,8,68.1,30.9,22.36,17.03,50.0,7.11,0
