Size;Rooms;BathRooms;Price
45;1;1;96000
48;1;1;115000
48;1;1;142500
49;1;1;147000
50;1;1;125000
50;1;1;128000
50;2;1;140000
50;1;1;145000
52;1;1;125000
52;1;1;138000
55;1;1;129000
55;1;1;132500
55;1;1;145000
55;1;1;150000
55;1;1;155000
55;2;1;160000
56;1;1;167500
57;2;1;170000
59;2;1;145000
59;2;2;150000
59;1;1;175000
60;1;1;120000
60;1;1;125000
60;1;1;130000
60;1;1;139950
60;1;1;149500
60;1;1;165000
60;2;1;165000
60;1;1;165000
60;1;2;170000
60;1;1;175000
60;2;1;175000
60;1;1;175000
60;2;1;178000
60;1;1;180000
60;1;1;180000
60;1;1;180000
62;1;1;125000
62;1;1;149000
62;1;1;165000
64;1;1;129000
64;1;1;175000
64;1;1;190000
65;1;1;130000
65;1;1;137000
65;1;1;139000
65;1;1;155000
65;1;1;155000
65;1;1;159000
65;1;1;169000
65;1;1;175000
65;1;1;175000
65;2;1;175000
65;1;1;177000
65;1;2;180000
65;2;1;180000
65;1;1;180000
65;1;1;185000
65;2;1;185000
65;1;1;185000
65;1;2;185000
65;2;1;188000
65;1;1;195000
65;1;1;195000
68;1;1;139000
68;1;1;140000
68;2;1;193000
69;1;1;149000
69;1;1;158000
69;1;1;175000
69;1;1;175000
69;2;1;190000
69;2;1;200000
69;1;1;203000
69;2;1;205000
70;2;1;140000
70;2;1;140000
70;2;1;145000
70;2;1;145000
70;2;1;145000
70;2;1;147000
70;2;1;149000
70;2;1;150000
70;2;1;150000
70;1;1;150000
70;2;1;155000
70;2;1;155000
70;1;1;155000
70;2;1;158000
70;1;1;160000
70;2;1;162000
70;2;1;163000
70;1;2;163000
70;1;1;165000
70;1;1;165000
70;1;1;165000
70;2;1;165000
70;2;1;168000
70;2;1;168000
70;1;1;170000
70;2;1;170000
70;2;1;170000
70;2;1;170000
70;1;1;173000
70;1;1;175000
70;2;1;175000
70;1;1;175000
70;1;1;175000
70;1;1;175000
70;2;1;176000
70;2;1;179000
70;2;1;180000
70;2;1;180000
70;2;1;180000
70;1;1;180000
70;2;1;180000
70;2;1;180000
70;2;1;185000
70;2;1;187000
70;1;1;190000
70;2;1;190000
70;1;1;190000
70;2;1;190000
70;2;1;190000
70;2;1;194000
70;1;1;195000
70;2;1;195000
70;2;1;195000
70;1;2;195000
70;2;1;200000
70;2;1;200000
70;1;1;200000
70;2;1;202000
70;2;1;205000
70;2;1;205000
70;1;1;205000
70;2;1;208000
70;2;1;210000
70;2;1;210000
70;3;1;210000
70;2;1;210000
70;2;1;210000
70;2;1;210000
71;1;1;210000
72;2;1;169000
72;2;1;175000
72;2;1;213000
74;1;1;160000
74;1;1;170000
74;2;1;180000
74;2;2;180000
74;2;1;195000
74;2;1;199000
74;2;1;208000
74;2;1;210000
74;2;1;213000
75;2;1;150000
75;2;1;157500
75;1;1;158000
75;2;1;160000
75;2;1;160000
75;2;1;162000
75;2;1;163000
75;3;1;165000
75;2;1;165000
75;1;1;166900
75;1;1;169000
75;1;1;169000
75;2;1;170000
75;2;1;175000
75;1;1;175000
75;2;1;175000
75;2;1;175000
75;2;2;178000
75;2;1;180000
75;2;1;180000
75;2;1;180000
75;2;1;183000
75;2;1;185000
75;2;1;185000
75;2;1;185000
75;2;1;185000
75;2;1;188000
75;2;1;189000
75;2;1;189000
75;2;1;189000
75;2;2;190000
75;2;1;190000
75;2;1;190000
75;2;1;190000
75;1;1;190000
75;2;1;190000
75;2;1;190000
75;2;1;193000
75;2;1;195000
75;2;1;195000
75;2;1;195000
75;1;1;200000
75;2;1;205000
75;2;1;205000
75;2;1;205000
75;2;1;205000
75;2;1;210000
75;1;1;210000
75;2;2;210000
75;2;1;212000
75;2;1;215000
75;2;1;215000
75;1;1;215000
75;2;1;217000
75;2;1;217500
75;2;1;220000
75;2;1;220000
75;2;1;220000
75;2;1;225000
76;2;1;220000
77;2;1;220000
77;2;1;224900
77;2;1;230000
78;1;1;188000
78;2;1;207500
78;1;1;220000
78;2;1;229000
78;2;1;230000
79;2;2;190000
79;2;1;200000
79;2;1;205000
79;2;1;210000
79;2;1;220000
79;2;1;223000
79;2;1;228000
79;2;1;230000
79;1;1;230000
79;2;1;230000
79;2;1;235000
80;2;1;160000
80;2;1;164500
80;2;1;165000
80;2;1;165000
80;2;1;165000
80;2;1;166500
80;2;1;167000
80;2;2;170000
80;2;1;170000
80;2;1;175000
80;2;1;175000
80;2;1;175000
80;2;1;175000
80;2;1;179000
80;2;2;180000
80;2;1;180000
80;2;1;180000
80;1;1;180000
80;2;1;180000
80;2;1;180000
80;2;1;180000
80;2;1;182000
80;2;1;182000
80;2;1;184000
80;2;1;184900
80;2;1;185000
80;2;1;185000
80;2;1;185000
80;2;1;185000
80;2;1;187500
80;2;1;188000
80;2;1;188000
80;2;1;188000
80;2;1;188000
80;2;1;188000
80;2;1;189000
80;2;1;189500
80;2;1;190000
80;2;1;190000
80;2;1;190000
80;1;1;195000
80;2;1;195000
80;2;1;195000
80;2;1;195000
80;2;1;195000
80;2;1;199000
80;2;1;200000
80;2;1;200000
80;2;1;200000
80;2;1;200000
80;2;1;200000
80;1;1;201000
80;2;1;205000
80;2;1;205000
80;1;1;205000
80;2;1;205000
80;2;1;205000
80;2;1;205000
80;2;1;209000
80;2;1;210000
80;2;1;210000
80;2;1;210000
80;2;1;210000
80;2;1;210000
80;2;1;211000
80;2;1;214000
80;2;1;215000
80;2;1;215000
80;2;1;217000
80;2;1;219000
80;2;1;219000
80;2;1;219000
80;2;1;219000
80;2;1;220000
80;2;1;220000
80;2;1;220000
80;2;1;225000
80;2;1;225000
80;2;1;225000
80;2;1;225000
80;2;1;225000
80;2;1;225000
80;2;1;225000
80;2;1;225000
80;2;2;225000
80;2;1;225000
80;2;1;225000
80;2;1;225000
80;2;1;228000
80;2;2;229000
80;2;1;229000
80;2;1;229000
80;2;1;230000
80;2;1;230000
80;2;1;230000
80;2;1;230000
80;2;1;230000
80;2;1;234000
80;2;1;235000
80;2;1;235000
80;2;1;235000
80;2;1;235000
80;2;1;235000
80;2;1;237000
80;2;1;238000
80;2;1;238000
80;2;1;239000
80;2;1;239000
80;2;1;240000
80;2;1;240000
80;2;1;240000
80;2;1;240000
80;2;1;240000
80;2;1;240000
80;2;1;240000
80;2;1;240000
80;2;1;240000
81;2;1;175000
81;1;1;200000
82;2;1;182500
82;2;1;190000
82;2;1;198000
82;2;1;244000
82;2;1;246000
83;2;2;243000
83;2;1;243000
84;3;1;169000
84;2;1;169999
84;2;1;175000
84;2;1;180000
84;2;1;185000
84;2;1;190000
84;2;2;195000
84;2;1;200000
84;2;1;205000
84;2;1;210000
84;2;1;220000
84;2;1;225000
84;2;1;228000
84;2;1;235000
84;2;1;245000
84;2;1;250000
85;2;1;170000
85;2;1;170000
85;2;1;170000
85;2;1;170000
85;2;1;170000
85;2;1;175000
85;2;1;175000
85;2;1;175000
85;2;1;175000
85;2;1;175000
85;2;1;175000
85;2;1;176000
85;2;2;177000
85;2;1;179000
85;2;1;179000
85;2;1;180000
85;2;1;180000
85;1;1;180000
85;2;1;182000
85;2;1;182000
85;2;2;182500
85;2;1;183000
85;2;1;185000
85;2;1;185000
85;2;1;185000
85;2;2;187000
85;2;2;188000
85;2;1;188000
85;2;1;188000
85;2;1;189000
85;2;1;189500
85;2;1;190000
85;2;1;190000
85;2;1;190000
85;1;1;190000
85;2;1;190000
85;2;1;190000
85;2;1;190000
85;2;1;193000
