street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
3526 HIGH ST,SACRAMENTO,95838,CA,2,1,836,Residential,2008-05-21,59222,38.631913,-121.43487900000001
51 OMAHA CT,SACRAMENTO,95823,CA,3,1,1167,Residential,2008-05-21,68212,38.478902000000005,-121.431028
2796 BRANCH ST,SACRAMENTO,95815,CA,2,1,796,Residential,2008-05-21,68880,38.618305,-121.44383899999998
2805 JANETTE WAY,SACRAMENTO,95815,CA,2,1,852,Residential,2008-05-21,69307,38.616834999999995,-121.439146
6001 MCMAHON DR,SACRAMENTO,95824,CA,2,1,797,Residential,2008-05-21,81900,38.51947,-121.435768
5828 PEPPERMILL CT,SACRAMENTO,95841,CA,3,1,1122,Condo,2008-05-21,89921,38.662595,-121.32781299999999
6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,3,2,1104,Residential,2008-05-21,90895,38.681659,-121.35170500000001
2561 19TH AVE,SACRAMENTO,95820,CA,3,1,1177,Residential,2008-05-21,91002,38.535092,-121.48136699999999
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,2,2,941,Condo,2008-05-21,94905,38.621188000000004,-121.270555
7325 10TH ST,RIO LINDA,95673,CA,3,2,1146,Residential,2008-05-21,98937,38.700909,-121.44297900000001
645 MORRISON AVE,SACRAMENTO,95838,CA,3,2,909,Residential,2008-05-21,100309,38.637663,-121.45152
4085 FAWN CIR,SACRAMENTO,95823,CA,3,2,1289,Residential,2008-05-21,106250,38.470746000000005,-121.458918
2930 LA ROSA RD,SACRAMENTO,95815,CA,1,1,871,Residential,2008-05-21,106852,38.618697999999995,-121.435833
2113 KIRK WAY,SACRAMENTO,95822,CA,3,1,1020,Residential,2008-05-21,107502,38.482215000000004,-121.492603
4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,2,1022,Residential,2008-05-21,108750,38.672914,-121.35933999999999
7340 HAMDEN PL,SACRAMENTO,95842,CA,2,2,1134,Condo,2008-05-21,110700,38.700051,-121.35127800000001
6715 6TH ST,RIO LINDA,95673,CA,2,1,844,Residential,2008-05-21,113263,38.689591,-121.45223899999999
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Condo,2008-05-21,116250,38.679776000000004,-121.314089
250 PERALTA AVE,SACRAMENTO,95833,CA,2,1,588,Residential,2008-05-21,120000,38.612099,-121.469095
113 LEEWILL AVE,RIO LINDA,95673,CA,3,2,1356,Residential,2008-05-21,121630,38.689999,-121.46321999999999
6118 STONEHAND AVE,CITRUS HEIGHTS,95621,CA,3,2,1118,Residential,2008-05-21,122000,38.707851,-121.32070700000001
4882 BANDALIN WAY,SACRAMENTO,95823,CA,4,2,1329,Residential,2008-05-21,122682,38.468173,-121.444071
7511 OAKVALE CT,NORTH HIGHLANDS,95660,CA,4,2,1240,Residential,2008-05-21,123000,38.702791999999995,-121.38221000000001
9 PASTURE CT,SACRAMENTO,95834,CA,3,2,1601,Residential,2008-05-21,124100,38.628631,-121.488097
3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,CA,3,2,901,Residential,2008-05-21,125000,38.701499,-121.37621999999999
3828 BLACKFOOT WAY,ANTELOPE,95843,CA,3,2,1088,Residential,2008-05-21,126640,38.709740000000004,-121.37377
4108 NORTON WAY,SACRAMENTO,95820,CA,3,1,963,Residential,2008-05-21,127281,38.537526,-121.478315
1469 JANRICK AVE,SACRAMENTO,95832,CA,3,2,1119,Residential,2008-05-21,129000,38.476471999999994,-121.50171100000001
9861 CULP WAY,SACRAMENTO,95827,CA,4,2,1380,Residential,2008-05-21,131200,38.558423,-121.32794799999999
7825 CREEK VALLEY CIR,SACRAMENTO,95828,CA,3,2,1248,Residential,2008-05-21,132000,38.472122,-121.404199
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,CA,2,2,1039,Condo,2008-05-21,133000,38.423251,-121.44448899999999
6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,3,2,1152,Residential,2008-05-21,134555,38.691161,-121.37191999999999
3100 EXPLORER DR,SACRAMENTO,95827,CA,3,2,1380,Residential,2008-05-21,136500,38.566663,-121.33264399999999
7944 DOMINION WAY,ELVERTA,95626,CA,3,2,1116,Residential,2008-05-21,138750,38.713182,-121.411227
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,CA,2,2,1039,Condo,2008-05-21,141000,38.423251,-121.44448899999999
3920 SHINING STAR DR,SACRAMENTO,95823,CA,3,2,1418,Residential,2008-05-21,146250,38.48742,-121.46245900000001
5031 CORVAIR ST,NORTH HIGHLANDS,95660,CA,3,2,1082,Residential,2008-05-21,147308,38.658246000000005,-121.375469
7661 NIXOS WAY,SACRAMENTO,95823,CA,4,2,1472,Residential,2008-05-21,148750,38.479553,-121.46331699999999
7044 CARTHY WAY,SACRAMENTO,95828,CA,4,2,1146,Residential,2008-05-21,149593,38.49857,-121.420925
2442 LARKSPUR LN,SACRAMENTO,95825,CA,1,1,760,Condo,2008-05-21,150000,38.58514,-121.40373600000001
4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,95835,CA,2,2,1304,Condo,2008-05-21,152000,38.658812,-121.542345
2178 63RD AVE,SACRAMENTO,95822,CA,3,2,1207,Residential,2008-05-21,154000,38.493955,-121.48966000000001
8718 ELK WAY,ELK GROVE,95624,CA,3,2,1056,Residential,2008-05-21,156896,38.41653,-121.379653
5708 RIDGEPOINT DR,ANTELOPE,95843,CA,2,2,1043,Residential,2008-05-21,161250,38.72027,-121.33155500000001
7315 KOALA CT,NORTH HIGHLANDS,95660,CA,4,2,1587,Residential,2008-05-21,161500,38.699251000000004,-121.37141399999999
2622 ERIN DR,SACRAMENTO,95833,CA,4,1,1120,Residential,2008-05-21,164000,38.613765,-121.488694
8421 SUNBLAZE WAY,SACRAMENTO,95823,CA,4,2,1580,Residential,2008-05-21,165000,38.450542999999996,-121.432538
7420 ALIX PKWY,SACRAMENTO,95823,CA,4,1,1955,Residential,2008-05-21,166357,38.489405,-121.45281100000001
3820 NATOMA WAY,SACRAMENTO,95838,CA,4,2,1656,Residential,2008-05-21,166357,38.636748,-121.42215900000001
4431 GREEN TREE DR,SACRAMENTO,95823,CA,3,2,1477,Residential,2008-05-21,168000,38.499953999999995,-121.45446899999999
9417 SARA ST,ELK GROVE,95624,CA,3,2,1188,Residential,2008-05-21,170000,38.415518,-121.370527
8299 HALBRITE WAY,SACRAMENTO,95828,CA,4,2,1590,Residential,2008-05-21,173000,38.473814000000004,-121.4
7223 KALLIE KAY LN,SACRAMENTO,95823,CA,3,2,1463,Residential,2008-05-21,174250,38.477553,-121.419463
